,YEAR_DATE,CARRIER,ORIGIN,ORIGINSTATE,DEST,DEST_STATE_ABR,DEPDELAY,TAXI_OUT,TAXI_IN,ARRDELAY,AIR_TIME,DISTANCE
2495530,2016,VX,SFO,CA,SEA,WA,15.0,11.0,7.0,12.0,94.0,679.0
4395799,2015,UA,DEN,CO,MSY,LA,-6.0,12.0,8.0,-6.0,131.0,1062.0
4443804,2002,DL,MEM,TN,ATL,GA,17.0,15.0,8.0,16.0,55.0,332.0
131685,2010,UA,DEN,CO,TUL,OK,-6.0,22.0,4.0,-14.0,68.0,541.0
1804711,2004,WN,LAS,NV,SAT,TX,0.0,18.0,2.0,-5.0,135.0,1069.0
3401281,1998,CO,IAH,TX,EWR,NJ,-5.0,42.0,7.0,8.0,171.0,1400.0
4768788,1998,WN,ABQ,NM,DAL,TX,0.0,8.0,4.0,9.0,87.0,580.0
892553,2007,WN,LAX,CA,OAK,CA,-1.0,8.0,5.0,-5.0,53.0,337.0
1324589,2003,EV,ATL,GA,AVL,NC,20.0,25.0,5.0,33.0,40.0,164.0
3697035,2005,DL,ATL,GA,MCO,FL,-2.0,11.0,7.0,-6.0,62.0,403.0
347086,2010,FL,LGA,NY,MKE,WI,-6.0,9.0,4.0,-15.0,109.0,738.0
2378731,2014,WN,BUF,NY,MDW,IL,-2.0,8.0,5.0,-11.0,83.0,468.0
1380831,1996,AA,ATL,GA,MIA,FL,-2.0,10.0,6.0,-16.0,81.0,595.0
898471,2007,OH (1),BOS,MA,BWI,MD,-5.0,20.0,11.0,-10.0,65.0,370.0
4321590,2006,EV,ATL,GA,BMI,IL,-3.0,24.0,5.0,-3.0,77.0,533.0
1267091,2003,NW,BDL,CT,DTW,MI,-7.0,12.0,8.0,-1.0,100.0,548.0
1823683,1995,AA,DFW,TX,DCA,VA,-3.0,14.0,10.0,17.0,159.0,1192.0
1692903,2006,US,BWI,MD,CLT,NC,-3.0,15.0,3.0,-8.0,59.0,361.0
2185515,2005,WN,SAN,CA,SJC,CA,25.0,11.0,3.0,27.0,68.0,418.0
972607,2011,MQ,GRR,MI,ORD,IL,-3.0,17.0,9.0,5.0,42.0,137.0
1148550,2008,OO,LAX,CA,COS,CO,-8.0,8.0,6.0,-20.0,108.0,833.0
3210965,2005,AA,MCI,MO,DFW,TX,24.0,10.0,36.0,44.0,73.0,460.0
3779314,2016,AS,LAX,CA,SEA,WA,-1.0,19.0,7.0,-7.0,140.0,954.0
3202486,2004,AS,RNO,NV,LAX,CA,28.0,13.0,7.0,26.0,63.0,390.0
675321,2015,EV,IAH,TX,CLL,TX,-9.0,31.0,5.0,6.0,22.0,74.0
2092924,1995,UA,LAX,CA,SFO,CA,3.0,22.0,5.0,4.0,50.0,337.0
3298987,2014,DL,IND,IN,MSP,MN,-2.0,14.0,5.0,-5.0,81.0,503.0
4565502,2003,WN,FLL,FL,TPA,FL,0.0,16.0,3.0,-3.0,38.0,197.0
3582657,2007,OH (1),LGA,NY,HSV,AL,0.0,49.0,6.0,15.0,122.0,823.0
865282,2006,WN,MDW,IL,STL,MO,7.0,6.0,4.0,-8.0,40.0,251.0
1277765,1997,HP,TUS,AZ,PHX,AZ,10.0,12.0,4.0,17.0,31.0,110.0
4053122,2012,DL,DTW,MI,MCO,FL,0.0,21.0,15.0,18.0,143.0,957.0
2572564,2001,NW,DTW,MI,JAX,FL,5.0,22.0,5.0,-4.0,107.0,814.0
3391808,1998,HP,ELP,TX,LAS,NV,-4.0,12.0,10.0,6.0,92.0,584.0
4582693,2014,OO,SLC,UT,WYS,MT,-5.0,17.0,6.0,-4.0,66.0,273.0
2467801,2009,CO,IAH,TX,BWI,MD,1.0,36.0,4.0,18.0,151.0,1235.0
591312,2004,NW,MSP,MN,GRB,WI,-2.0,11.0,5.0,-13.0,38.0,252.0
3336406,2014,OO,SEA,WA,GEG,WA,-5.0,22.0,3.0,-3.0,37.0,224.0
4943986,2005,WN,OAK,CA,ONT,CA,0.0,8.0,4.0,-4.0,59.0,362.0
2483208,2004,NW,DTW,MI,LAN,MI,-2.0,13.0,4.0,-3.0,21.0,74.0
983871,2009,NW,MSP,MN,OMA,NE,4.0,28.0,7.0,7.0,47.0,282.0
4582712,2004,WN,PHL,PA,MHT,NH,0.0,15.0,4.0,-11.0,50.0,290.0
2543133,1996,US,CLT,NC,LGA,NY,24.0,21.0,15.0,28.0,71.0,544.0
2189595,2010,YV,CLT,NC,SRQ,FL,0.0,20.0,3.0,-10.0,81.0,547.0
2869691,1996,AA,SEA,WA,DFW,TX,1.0,10.0,12.0,-7.0,197.0,1660.0
632857,2009,MQ,PNS,FL,DFW,TX,-3.0,11.0,12.0,-5.0,85.0,604.0
670431,2008,OO,SFO,CA,PMD,CA,-9.0,17.0,5.0,-17.0,46.0,316.0
3034418,2015,WN,ATL,GA,PIT,PA,6.0,11.0,6.0,-10.0,67.0,526.0
4985399,1997,AA,IAH,TX,DFW,TX,-2.0,8.0,7.0,-12.0,40.0,224.0
2390828,2003,UA,ORD,IL,SAN,CA,-1.0,7.0,3.0,8.0,241.0,1723.0
3508935,2013,AA,MEM,TN,DFW,TX,-8.0,9.0,6.0,-34.0,64.0,432.0
1714098,2003,AA,DFW,TX,DTW,MI,-4.0,14.0,6.0,6.0,144.0,987.0
347934,2009,CO,BOS,MA,EWR,NJ,-4.0,24.0,7.0,-32.0,50.0,200.0
3291140,2010,DL,MEM,TN,LAS,NV,4.0,16.0,6.0,-6.0,197.0,1416.0
2957476,2004,AS,ANC,AK,SEA,WA,8.0,10.0,8.0,-15.0,169.0,1449.0
4924238,2003,DL,CVG,KY,CLE,OH,-4.0,17.0,4.0,-12.0,36.0,221.0
361577,2007,AS,SFO,CA,LAX,CA,-12.0,11.0,16.0,-18.0,55.0,337.0
4087946,2011,XE,ORD,IL,MLI,IL,-1.0,19.0,6.0,3.0,27.0,140.0
2716819,1996,UA,PHL,PA,ORD,IL,57.0,118.0,5.0,183.0,127.0,678.0
4656295,2015,AA,OMA,NE,DFW,TX,-6.0,16.0,11.0,-23.0,79.0,583.0
4047442,1995,UA,BOI,ID,SFO,CA,6.0,12.0,6.0,3.0,79.0,522.0
1823301,2015,B6,PVD,RI,MCO,FL,-9.0,11.0,10.0,-23.0,138.0,1072.0
2612297,1996,DL,ATL,GA,SAN,CA,16.0,26.0,8.0,10.0,241.0,1891.0
249417,2013,DL,ATL,GA,MEM,TN,4.0,11.0,5.0,-5.0,60.0,332.0
1035868,2002,DL,SLC,UT,BZN,MT,-4.0,17.0,5.0,-11.0,48.0,347.0
4035575,2000,DL,SLC,UT,PHX,AZ,3.0,14.0,7.0,0.0,71.0,507.0
1759772,2013,B6,MCO,FL,BDL,CT,87.0,15.0,5.0,72.0,127.0,1050.0
574059,2003,AS,SFO,CA,PDX,OR,-9.0,14.0,4.0,-11.0,80.0,550.0
1905970,2005,UA,LAX,CA,MCO,FL,-4.0,13.0,5.0,-2.0,269.0,2217.0
2286634,1997,AA,BWI,MD,MIA,FL,-1.0,14.0,5.0,-2.0,125.0,946.0
1658417,1998,AS,ANC,AK,SEA,WA,5.0,16.0,9.0,19.0,185.0,1448.0
4561462,2014,AA,DTW,MI,DFW,TX,3.0,14.0,15.0,1.0,144.0,986.0
2920683,2014,WN,STL,MO,MCI,MO,-2.0,9.0,3.0,-9.0,41.0,237.0
370476,2010,OO,MSP,MN,CVG,KY,-2.0,14.0,6.0,-14.0,88.0,596.0
3307146,2014,DL,MSP,MN,IND,IN,-5.0,10.0,7.0,-10.0,69.0,503.0
1106340,2008,HA,HNL,HI,OGG,HI,2.0,12.0,7.0,3.0,19.0,100.0
940722,2004,HP,DFW,TX,PHX,AZ,2.0,8.0,3.0,-6.0,129.0,868.0
1881564,2005,OH (1),JFK,NY,PNS,FL,-8.0,58.0,8.0,30.0,150.0,1028.0
4069886,1997,AS,PDX,OR,SEA,WA,3.0,13.0,3.0,6.0,32.0,129.0
831638,2003,AA,PVD,RI,ORD,IL,-3.0,10.0,4.0,-23.0,111.0,849.0
4659459,1995,DL,JFK,NY,DCA,VA,9.0,29.0,4.0,-1.0,38.0,213.0
3407921,2016,WN,IND,IN,MCO,FL,0.0,7.0,10.0,-4.0,114.0,829.0
3213700,2012,B6,JFK,NY,BOS,MA,-2.0,25.0,4.0,-3.0,38.0,187.0
4510345,2000,WN,SMF,CA,SAN,CA,0.0,6.0,2.0,0.0,72.0,480.0
3834754,2009,OO,CLD,CA,LAX,CA,-7.0,5.0,6.0,-17.0,22.0,86.0
2396539,1999,WN,HOU,TX,SAT,TX,0.0,29.0,3.0,28.0,46.0,192.0
2798576,2009,OO,DEN,CO,TUS,AZ,0.0,11.0,4.0,1.0,102.0,639.0
734726,2013,EV,ATL,GA,OMA,NE,43.0,11.0,4.0,24.0,109.0,821.0
1606940,2005,DL,CVG,KY,BOS,MA,0.0,11.0,13.0,-8.0,91.0,752.0
1443256,2004,DL,LAX,CA,ATL,GA,14.0,22.0,15.0,26.0,235.0,1946.0
19614,2006,OH (1),SRQ,FL,CVG,KY,0.0,6.0,2.0,-21.0,110.0,812.0
4092607,2001,CO,FLL,FL,CLE,OH,1.0,19.0,6.0,7.0,150.0,1062.0
865053,2016,OO,DSM,IA,IAH,TX,-2.0,13.0,5.0,-16.0,114.0,802.0
3966093,2013,UA,PIT,PA,ORD,IL,1.0,12.0,3.0,-5.0,76.0,413.0
3591309,1998,UA,SFO,CA,DEN,CO,123.0,16.0,6.0,117.0,114.0,967.0
2982311,2000,US,CLT,NC,PIT,PA,-2.0,18.0,7.0,-1.0,55.0,366.0
3375257,1998,CO,MCI,MO,CLE,OH,-5.0,8.0,5.0,-12.0,87.0,694.0
2381718,2015,MQ,AZO,MI,ORD,IL,-9.0,7.0,12.0,-16.0,33.0,122.0
3614009,2010,CO,CLE,OH,EWR,NJ,-8.0,8.0,9.0,-4.0,64.0,404.0
3480306,2000,NW,RAP,SD,MSP,MN,-5.0,7.0,2.0,-8.0,74.0,490.0
4873156,2015,AA,DCA,VA,FLL,FL,-6.0,26.0,4.0,8.0,137.0,899.0
774868,2004,OH (1),CVG,KY,MDT,PA,11.0,14.0,3.0,9.0,66.0,429.0
497108,2005,HP,PHX,AZ,SMF,CA,2.0,19.0,7.0,-2.0,94.0,647.0
1027183,1995,UA,LAS,NV,ORD,IL,-2.0,11.0,6.0,-2.0,194.0,1515.0
2150783,2005,XE,IAH,TX,ICT,KS,0.0,15.0,5.0,5.0,85.0,542.0
271906,2005,DL,MSY,LA,CVG,KY,-4.0,18.0,7.0,8.0,111.0,700.0
1365893,1999,HP,PHX,AZ,STL,MO,8.0,9.0,3.0,4.0,160.0,1262.0
1300497,1997,DL,ORD,IL,SLC,UT,8.0,14.0,8.0,23.0,187.0,1249.0
2885851,2013,MQ,PIT,PA,ORD,IL,-4.0,8.0,4.0,-15.0,67.0,413.0
475778,2006,DL,ABQ,NM,CVG,KY,-4.0,10.0,6.0,-12.0,147.0,1240.0
4443171,2002,AA,ORF,VA,STL,MO,-2.0,27.0,7.0,10.0,119.0,784.0
2090238,1998,AA,LIT,AR,DFW,TX,10.0,14.0,15.0,7.0,52.0,304.0
4302650,2000,HP,PHX,AZ,ABQ,NM,-2.0,14.0,8.0,-1.0,52.0,328.0
3712689,1999,WN,RNO,NV,BOI,ID,0.0,17.0,2.0,15.0,56.0,335.0
135907,2016,B6,BOS,MA,PBI,FL,28.0,12.0,3.0,15.0,156.0,1197.0
2455345,2014,WN,BWI,MD,MCO,FL,-2.0,9.0,9.0,2.0,126.0,787.0
4512252,2015,WN,BUF,NY,PHX,AZ,18.0,10.0,5.0,-2.0,265.0,1912.0
3518893,2013,US,LAS,NV,CLT,NC,-2.0,20.0,8.0,-1.0,219.0,1916.0
2598007,1995,NW,DTW,MI,PBI,FL,-1.0,29.0,4.0,-6.0,133.0,1087.0
1418650,2008,WN,PHX,AZ,SAN,CA,-2.0,7.0,4.0,-4.0,52.0,304.0
2357883,2008,YV,PNS,FL,CLT,NC,30.0,14.0,9.0,22.0,62.0,488.0
3763417,2016,B6,ORH,MA,FLL,FL,8.0,14.0,5.0,-9.0,151.0,1211.0
163591,2016,WN,MDW,IL,BHM,AL,9.0,11.0,3.0,-2.0,75.0,570.0
835764,2006,CO,CLE,OH,LGA,NY,-3.0,44.0,5.0,16.0,68.0,418.0
4610526,2000,WN,MCI,MO,MCO,FL,0.0,8.0,6.0,-11.0,125.0,1072.0
1039457,2001,AA,DFW,TX,MCI,MO,2.0,18.0,6.0,-6.0,68.0,460.0
3315298,1997,AA,BNA,TN,DFW,TX,-3.0,11.0,7.0,5.0,115.0,631.0
2856712,2003,AA,TUS,AZ,DFW,TX,-6.0,9.0,8.0,-4.0,109.0,813.0
517511,2005,UA,DCA,VA,ORD,IL,-2.0,25.0,5.0,-5.0,93.0,612.0
3703451,2014,US,ATL,GA,PHX,AZ,-5.0,12.0,5.0,-39.0,214.0,1587.0
1517107,2006,DL,LGA,NY,ATL,GA,-1.0,24.0,8.0,-3.0,126.0,761.0
3237070,2014,DL,ATL,GA,LIT,AR,-4.0,28.0,6.0,4.0,71.0,453.0
4303093,1997,US,ELM,NY,PIT,PA,-4.0,14.0,5.0,3.0,41.0,208.0
3832565,2005,FL,ATL,GA,EWR,NJ,52.0,13.0,7.0,37.0,95.0,745.0
1670745,2014,UA,IAH,TX,PDX,OR,1.0,19.0,5.0,3.0,254.0,1825.0
3337633,1997,NW,MSP,MN,MSN,WI,-3.0,23.0,5.0,1.0,39.0,228.0
2367492,2010,AA,DFW,TX,AUS,TX,-3.0,13.0,6.0,-4.0,35.0,190.0
2360322,1998,DL,ATL,GA,BOS,MA,2.0,11.0,5.0,-8.0,119.0,946.0
4580532,2010,XE,MKE,WI,CLE,OH,-2.0,15.0,10.0,2.0,51.0,328.0
2600079,1998,AA,SJU,PR,BOS,MA,0.0,14.0,8.0,-6.0,224.0,1674.0
2369147,2012,EV,BGR,ME,DTW,MI,7.0,9.0,7.0,-9.0,98.0,750.0
2953332,2010,YV,ORD,IL,DSM,IA,-3.0,10.0,5.0,-8.0,56.0,299.0
1950710,2009,MQ,CHS,SC,DFW,TX,18.0,15.0,15.0,21.0,168.0,987.0
857041,1999,DL,MKE,WI,CVG,KY,1.0,15.0,8.0,-3.0,51.0,318.0
4195490,2004,UA,MSP,MN,DEN,CO,-2.0,12.0,6.0,-16.0,95.0,680.0
4394931,2003,UA,DEN,CO,ABQ,NM,7.0,16.0,6.0,6.0,47.0,349.0
4472634,2003,DL,ATL,GA,PHX,AZ,5.0,13.0,9.0,18.0,244.0,1587.0
3387116,1996,UA,SEA,WA,ORD,IL,5.0,11.0,2.0,-7.0,196.0,1721.0
4939189,2005,US,CLT,NC,BNA,TN,4.0,16.0,6.0,-1.0,56.0,329.0
170,1999,UA,IAD,VA,BOS,MA,4.0,29.0,8.0,12.0,61.0,413.0
2044547,2004,MQ,BOS,MA,DCA,VA,-7.0,14.0,2.0,-10.0,80.0,399.0
2112040,2015,UA,DEN,CO,LAS,NV,2.0,12.0,5.0,-12.0,86.0,628.0
3143577,1996,US,LGA,NY,GSO,NC,14.0,28.0,3.0,13.0,74.0,461.0
828208,2009,MQ,LAX,CA,SBA,CA,-5.0,12.0,3.0,-10.0,20.0,89.0
2072542,2004,HP,PHX,AZ,RNO,NV,-4.0,9.0,5.0,-9.0,89.0,601.0
4252521,2005,OH (1),RDU,NC,CVG,KY,70.0,12.0,4.0,63.0,76.0,390.0
2152326,2004,EV,DFW,TX,MOB,AL,-3.0,16.0,6.0,0.0,75.0,540.0
830407,2009,HA,KOA,HI,HNL,HI,-6.0,9.0,5.0,-5.0,29.0,163.0
3028518,2003,OO,DEN,CO,CPR,WY,0.0,10.0,3.0,1.0,54.0,230.0
4215467,2000,TW,STL,MO,FSD,SD,0.0,14.0,3.0,-1.0,74.0,471.0
4276987,1999,US,PIT,PA,PHX,AZ,1.0,15.0,9.0,-14.0,235.0,1813.0
4587621,2003,AA,STL,MO,DTW,MI,-9.0,19.0,7.0,-14.0,67.0,440.0
4725306,2007,XE,EWR,NJ,DCA,VA,25.0,12.0,5.0,18.0,43.0,199.0
3478671,2012,WN,LAX,CA,SJC,CA,133.0,9.0,3.0,132.0,52.0,308.0
4950743,2016,WN,MDW,IL,STL,MO,5.0,9.0,4.0,-9.0,43.0,251.0
224176,1995,AA,DFW,TX,IAH,TX,7.0,22.0,3.0,12.0,40.0,224.0
3896509,2005,UA,OGG,HI,LAX,CA,7.0,9.0,2.0,-28.0,257.0,2486.0
625631,2008,OH (1),PHL,PA,CVG,KY,0.0,54.0,1.0,17.0,97.0,507.0
4526166,2006,OH (1),TUL,OK,CVG,KY,0.0,14.0,2.0,0.0,97.0,646.0
468496,2006,XE,IAH,TX,HRL,TX,150.0,14.0,3.0,143.0,47.0,295.0
38909,1995,WN,PHX,AZ,SNA,CA,41.0,5.0,4.0,38.0,53.0,338.0
259789,1999,DL,MCO,FL,BNA,TN,-3.0,10.0,6.0,10.0,117.0,616.0
46035,2013,OO,SUN,ID,SLC,UT,6.0,7.0,9.0,4.0,45.0,222.0
678292,2009,US,PHX,AZ,DEN,CO,10.0,15.0,9.0,-5.0,72.0,602.0
4941574,2015,OO,COD,WY,SLC,UT,20.0,18.0,4.0,14.0,47.0,298.0
4462189,2013,WN,MDW,IL,DEN,CO,80.0,7.0,7.0,62.0,118.0,895.0
303061,2007,CO,EWR,NJ,BOS,MA,47.0,19.0,7.0,39.0,45.0,200.0
3493289,2012,YV,CLT,NC,ILM,NC,21.0,11.0,1.0,10.0,32.0,185.0
4798492,1995,UA,IAD,VA,MSY,LA,4.0,11.0,5.0,0.0,134.0,954.0
631790,2011,AA,BWI,MD,DFW,TX,12.0,95.0,8.0,91.0,181.0,1217.0
3189074,1995,NW,MSP,MN,DCA,VA,-1.0,10.0,9.0,-1.0,116.0,931.0
3213291,2001,AA,BNA,TN,ORD,IL,5.0,11.0,6.0,-8.0,69.0,409.0
2575466,2002,DL,ORD,IL,SLC,UT,-1.0,10.0,5.0,-4.0,185.0,1249.0
2184366,1999,CO,EWR,NJ,ATL,GA,-3.0,24.0,6.0,-8.0,101.0,745.0
1607739,2008,US,JAX,FL,CLT,NC,-6.0,9.0,6.0,-14.0,56.0,329.0
2386387,1999,NW,MSP,MN,MDW,IL,0.0,9.0,4.0,-3.0,66.0,349.0
3322766,2009,AA,DFW,TX,DCA,VA,66.0,8.0,4.0,47.0,149.0,1192.0
4038763,2002,AA,IAH,TX,DFW,TX,-4.0,12.0,10.0,-11.0,44.0,224.0
1043643,2009,CO,IAH,TX,SLC,UT,-3.0,18.0,9.0,-10.0,165.0,1195.0
3837770,2010,YV,DRO,CO,PHX,AZ,-5.0,13.0,10.0,0.0,90.0,351.0
959880,2013,OO,ONT,CA,PDX,OR,2.0,10.0,5.0,-12.0,101.0,838.0
413437,2000,NW,PHL,PA,MSP,MN,-4.0,15.0,7.0,3.0,152.0,980.0
2044302,2011,XE,LNK,NE,DEN,CO,79.0,6.0,9.0,67.0,63.0,423.0
4833669,2016,DL,MSP,MN,DCA,VA,-4.0,16.0,4.0,-7.0,123.0,931.0
4738391,2001,UA,CLT,NC,GSO,NC,-19.0,8.0,4.0,-23.0,18.0,83.0
1854554,2006,UA,LIH,HI,LAX,CA,4.0,6.0,8.0,25.0,310.0,2615.0
3109330,1999,TW,IAD,VA,STL,MO,-2.0,17.0,11.0,-5.0,98.0,696.0
88931,2011,US,DCA,VA,TPA,FL,-4.0,17.0,4.0,12.0,139.0,814.0
1538853,2007,XE,MSY,LA,BHM,AL,10.0,5.0,5.0,5.0,60.0,321.0
119535,2011,WN,TPA,FL,BDL,CT,10.0,7.0,4.0,-5.0,149.0,1111.0
4887741,2003,US,DCA,VA,BOS,MA,-3.0,12.0,4.0,-14.0,53.0,399.0
3450600,2013,US,PHX,AZ,MCI,MO,-1.0,21.0,6.0,10.0,145.0,1044.0
2544555,2000,WN,PHX,AZ,BUR,CA,0.0,10.0,1.0,-7.0,57.0,369.0
4317800,2013,B6,BOS,MA,JFK,NY,-9.0,21.0,9.0,-5.0,44.0,187.0
3031719,2010,XE,IAH,TX,AUS,TX,-1.0,16.0,10.0,2.0,30.0,140.0
4268565,2005,WN,MDW,IL,STL,MO,0.0,10.0,6.0,-9.0,40.0,251.0
2953480,2004,NW,SAT,TX,DTW,MI,-5.0,12.0,10.0,-1.0,158.0,1215.0
2394800,2013,DL,SFO,CA,JFK,NY,-6.0,21.0,10.0,-22.0,287.0,2586.0
2414532,2009,WN,TUL,OK,STL,MO,-5.0,7.0,4.0,-15.0,49.0,351.0
1982881,2015,WN,ONT,CA,LAS,NV,-3.0,9.0,6.0,-12.0,36.0,197.0
4830829,2004,AA,LAX,CA,ORD,IL,14.0,12.0,5.0,-3.0,202.0,1745.0
4457847,2007,AA,DCA,VA,DFW,TX,2.0,19.0,11.0,6.0,179.0,1192.0
794237,2009,AS,FAI,AK,ANC,AK,-5.0,14.0,4.0,-9.0,42.0,261.0
4646892,1998,TW,STL,MO,LAS,NV,-2.0,15.0,7.0,-17.0,182.0,1372.0
2709687,2005,DL,ATL,GA,RIC,VA,1.0,19.0,6.0,9.0,68.0,481.0
664348,2007,AS,SMF,CA,SEA,WA,10.0,11.0,6.0,9.0,91.0,605.0
2283043,2010,WN,MCO,FL,ALB,NY,1.0,6.0,3.0,-19.0,141.0,1073.0
2128699,2002,CO,EWR,NJ,JAX,FL,2.0,16.0,5.0,-12.0,114.0,821.0
1761134,2016,OO,DEN,CO,FCA,MT,-10.0,25.0,4.0,-5.0,114.0,752.0
792472,2004,UA,IAD,VA,LAS,NV,0.0,13.0,7.0,0.0,283.0,2066.0
3310063,2012,US,PHL,PA,ORD,IL,-3.0,35.0,5.0,2.0,118.0,678.0
3001037,1999,WN,OAK,CA,LAX,CA,0.0,18.0,5.0,5.0,57.0,337.0
3744501,2008,UA,DEN,CO,LAS,NV,-6.0,9.0,4.0,-28.0,85.0,629.0
559382,2014,MQ,PNS,FL,DFW,TX,0.0,17.0,13.0,5.0,95.0,604.0
4725208,2010,DL,ATL,GA,SLC,UT,-1.0,26.0,3.0,-19.0,208.0,1589.0
4139722,2008,OO,DEN,CO,SBA,CA,-2.0,26.0,3.0,12.0,137.0,916.0
2136267,2004,EV,DFW,TX,ORD,IL,0.0,21.0,8.0,-9.0,102.0,802.0
4578694,2015,AA,CLT,NC,ORF,VA,-2.0,18.0,4.0,-4.0,43.0,290.0
1524924,2005,FL,BOS,MA,BWI,MD,65.0,13.0,9.0,72.0,76.0,370.0
1938957,2016,B6,RIC,VA,BOS,MA,-11.0,11.0,15.0,-7.0,68.0,474.0
799831,2012,US,CLT,NC,LAS,NV,0.0,20.0,6.0,-12.0,237.0,1916.0
4145723,2005,WN,CLE,OH,MDW,IL,33.0,6.0,3.0,15.0,53.0,307.0
